time,ra.x1,ra.x2,ra.x3,ra.x4,ra.x5,ra.x6
271,1.66,0,3.2,1.11,0,1.83
272,1.65,0,3.2,1.11,0,1.82
273,1.65,0,3.2,1.11,0,1.82
274,1.65,0,3.2,1.37,0,1.81
275,1.65,0,3.19,1.37,0,1.81
276,1.65,0,3.19,1.37,0,1.8
277,1.64,0,3.19,1.36,0,1.8
278,1.64,0,3.19,1.36,0,1.8
279,1.64,0,3.18,1.36,0,1.79
280,1.63,0,3.18,1.36,0,1.79
281,1.63,0,3.17,1.35,0,1.79
282,1.63,0,3.17,1.35,0,1.78
283,1.62,0,3.17,1.35,0,1.78
284,1.62,0,3.17,1.35,0,1.77
285,1.62,0,3.17,1.35,0,1.77
286,1.62,0,3.16,1.35,0,1.77
287,1.61,0,3.16,1.34,0,1.76
288,1.61,0,3.16,1.34,0,1.76
289,1.61,0,3.15,1.34,0,1.76
290,1.61,0,3.15,1.33,0,1.75
291,1.6,0,3.15,1.33,0,1.75
292,1.6,0,3.15,1.33,0,1.75
293,1.6,0,3.15,1.43,0,1.74
294,1.6,0,3.14,1.43,0,1.74
295,1.6,0,3.14,1.43,0,1.74
296,1.59,0,3.14,1.43,0,1.73
297,1.59,0,3.13,1.42,0,1.73
298,1.59,0,3.13,1.42,0,1.73
299,1.59,0,3.13,1.42,0,1.72
300,1.58,0,3.13,1.42,0,1.72
301,1.58,0,3.12,1.41,0,1.72
302,1.58,0,3.12,1.41,0,1.72
303,1.58,0,3.12,1.41,0,1.72
304,1.57,0,3.11,1.41,0,1.71
305,1.57,0,3.11,1.41,0,1.71
306,1.57,0,3.11,1.4,0,2.3
307,1.57,0,3.11,1.4,0,2.29
308,1.57,0,3.11,1.4,0,2.29
309,1.56,0,3.1,1.39,0,2.29
310,1.56,0,3.1,1.39,0,2.28
311,1.56,0,3.09,1.39,0,2.28
312,1.56,0,3.09,1.39,0,2.28
313,1.56,0,3.09,1.38,0,2.27
314,1.55,0,3.09,1.38,0,2.27
315,1.55,0,3.09,1.38,0,2.27
316,1.55,0,3.08,1.38,0,2.27
317,1.55,0,3.08,1.38,0,2.26
318,1.54,0,3.08,1.38,0,2.26
319,1.66,0,3.07,1.37,0,2.26
320,1.73,0,3.07,1.63,0,2.26
321,1.72,0,3.07,1.62,0,2.25
322,1.72,0,3.07,1.62,0,2.26
323,1.72,0,3.06,1.61,0,2.25
324,1.72,0,3.06,1.61,0,2.25
325,1.71,0,3.06,1.61,0,2.25
326,1.71,0,3.06,1.61,0,2.24
327,1.71,0,3.05,1.61,0,2.24
328,1.71,0,3.05,1.6,0,2.24
329,1.71,0,3.05,1.6,0,2.24
330,1.7,0,3.05,1.6,0,2.23
331,1.7,0,3.04,1.6,0,2.23
332,1.7,0,3.04,1.59,0,2.23
333,1.69,0,3.04,1.59,0,2.23
334,1.69,0,3.04,1.59,0,2.22
335,1.69,0,3.03,1.59,0,2.22
336,1.69,0,3.03,1.59,0,2.22
337,1.69,0,3.02,1.58,0,2.22
338,1.68,0,3.02,1.58,0,2.22
339,1.68,0,3.02,1.58,0,2.21
340,1.68,0,3.02,1.57,0,2.21
341,1.68,0,3.02,1.57,0,2.21
342,1.67,0,3.01,1.57,0,2.21
343,1.67,0,3.01,1.57,0,2.21
344,1.67,0,3.01,1.57,0,2.2
345,1.67,0,3,1.57,0,2.2
346,1.67,0,3,1.56,0,2.2
347,1.66,0,3,1.56,0,2.2
348,1.66,0,3,1.56,0,2.19
349,1.93,0,2.99,1.56,0,2.19
350,1.94,0,2.99,1.55,0,2.19
351,1.94,0,2.99,1.55,0,2.19
352,1.94,0,2.98,1.55,0,2.19
353,1.94,0,2.98,1.55,0,2.19
354,1.93,0,2.98,1.54,0,2.18
355,1.93,0,2.97,1.54,0,2.18
356,1.93,0,2.97,1.54,0,2.18
